order_id,customer_id,order_date,status,total_amount,discount_applied,shipping_city,shipping_country,payment_method
ORD-C0412421,CUST-1895B133,2023-08-04,Completed,23903.21,50,Surat,India,UPI
ORD-AC14DB69,CUST-C3BABFE9,2024-04-21,Cancelled,216844.28,100,Ahmedabad,India,Net Banking
ORD-F4D1E3CF,CUST-BB7C4C4F,2023-12-03,Returned,127843.22,0,Pune,India,Wallet
ORD-B0B4B625,CUST-40D88A79,2022-11-03,Cancelled,21215.89,50,Jaipur,India,Credit Card
ORD-3A4EE6A0,CUST-1895B133,2024-12-24,Cancelled,14223.58,50,Surat,India,UPI
ORD-F57B4FF0,CUST-F80F0A1F,2022-01-03,Pending,111862.14,200,Jaipur,India,Wallet
ORD-D756A56B,CUST-1889F4DE,2022-07-20,Returned,7195.05,500,Kolkata,India,Net Banking
ORD-94FFE031,CUST-A18299FC,2024-04-16,Completed,109192.2,100,Chennai,India,Credit Card
ORD-69057939,CUST-BB4C8366,2023-02-25,Pending,132666.46,0,Ahmedabad,India,Net Banking
ORD-ABA1F350,CUST-58F251E5,2024-05-17,Cancelled,142021.26,500,Ahmedabad,India,Wallet
ORD-9B30403B,CUST-868ADE8A,2024-01-29,Cancelled,67394.1,500,Hyderabad,India,Credit Card
ORD-C83C65D1,CUST-0D4667F7,2023-04-16,Returned,99035.54,100,Delhi,India,Credit Card
ORD-DA7A8F0F,CUST-F9A7678A,2024-03-07,Pending,4257.86,500,Kolkata,India,Wallet
ORD-3D450706,CUST-6425E1A0,2024-06-10,Completed,10124.24,0,Hyderabad,India,Credit Card
ORD-B5643CAB,CUST-C3B49F47,2022-03-19,Pending,165398.87,200,Bangalore,India,Wallet
ORD-54E27DE2,CUST-963FC8F1,2022-01-22,Completed,37323.92,100,Bangalore,India,Credit Card
ORD-BDE3B0B9,CUST-EB5F1350,2023-05-05,Pending,15951.38,0,Kolkata,India,Wallet
ORD-B61D3B05,CUST-37BA0696,2024-03-20,Returned,71230.41,100,Jaipur,India,Net Banking
ORD-4163EEBA,CUST-409B3D43,2023-07-21,Completed,302569.51,0,Ahmedabad,India,Credit Card
ORD-5F0DEDFF,CUST-880BC7BB,2023-08-26,Completed,6090.75,0,Surat,India,Net Banking
ORD-0514449E,CUST-BAB7A25E,2024-06-25,Returned,67605.5,500,Pune,India,Wallet
ORD-7A0177B8,CUST-8116ACAC,2023-03-28,Pending,15177.45,0,Hyderabad,India,Credit Card
ORD-B359B04F,CUST-FDFC002F,2023-06-24,Completed,151975.34,0,Mumbai,India,Net Banking
ORD-9CE76EE5,CUST-495737BE,2023-03-24,Cancelled,114210.65,200,Chennai,India,UPI
ORD-E20794E7,CUST-9B97F9A4,2023-06-28,Completed,16729.05,500,Hyderabad,India,UPI
ORD-3CE227D3,CUST-0D4F68FD,2022-08-07,Completed,16127.31,100,Jaipur,India,Credit Card
ORD-9DB47CA2,CUST-80396738,2024-09-14,Completed,148770.94,0,Pune,India,UPI
ORD-377B404C,CUST-37FA9BFF,2024-12-12,Returned,24115.2,50,Surat,India,Wallet
ORD-57F065E4,CUST-13634CDC,2022-01-18,Completed,81329.84,0,Bangalore,India,Net Banking
ORD-E3E3B7BC,CUST-00A03953,2023-06-23,Completed,105627.54,0,Surat,India,UPI
ORD-2438FB9A,CUST-46004E7A,2024-02-02,Completed,299215.95,0,Ahmedabad,India,Net Banking
ORD-BAE91C4D,CUST-BB544E12,2023-04-28,Cancelled,147679.8,50,Jaipur,India,UPI
ORD-AB8808F5,CUST-7D9BAFCC,2024-11-24,Cancelled,8662.29,100,Jaipur,India,Credit Card
ORD-4CA9E2CD,CUST-4010C35F,2022-12-01,Completed,2948.61,500,Hyderabad,India,Wallet
ORD-7AFEC0F0,CUST-899211E8,2023-11-17,Completed,37020.56,0,Bangalore,India,Net Banking
ORD-6103CC02,CUST-2F3BF899,2023-02-12,Cancelled,53711.55,200,Chennai,India,Wallet
ORD-4F0DF6E3,CUST-523ECF2A,2023-08-10,Returned,156145.81,50,Chennai,India,Wallet
ORD-598B48FB,CUST-80396738,2022-05-27,Completed,94384.88,0,Pune,India,Net Banking
ORD-5A7F2735,CUST-4B532F33,2023-07-02,Cancelled,50986.18,100,Kolkata,India,Credit Card
ORD-2C0A8D79,CUST-F51C236B,2023-04-26,Pending,15901.2,50,Delhi,India,Wallet
ORD-5DEBD956,CUST-A84803BF,2022-04-21,Completed,39260.85,100,Ahmedabad,India,Net Banking
ORD-DA7D6E64,CUST-391E1685,2023-05-22,Pending,13860.83,500,Surat,India,Net Banking
ORD-D8C6C9F6,CUST-7F4354A9,2023-10-29,Returned,28982.18,0,Chennai,India,Wallet
ORD-F1AA42E3,CUST-23F3069C,2024-06-09,Cancelled,34167.76,500,Chennai,India,Net Banking
ORD-68C2D44E,CUST-7AA1330B,2023-09-14,Completed,2913.49,500,Delhi,India,Net Banking
ORD-9BAD2260,CUST-5B1F53D3,2024-08-18,Cancelled,3022.56,500,Delhi,India,Net Banking
ORD-F211C15F,CUST-412B9C03,2024-05-31,Completed,105656.0,50,Kolkata,India,Wallet
ORD-C0A437FD,CUST-28EF754F,2024-02-14,Completed,23898.11,100,Hyderabad,India,Net Banking
ORD-0AFB9B89,CUST-D540071F,2024-12-25,Completed,175322.02,0,Delhi,India,Wallet
ORD-069E6238,CUST-58505F80,2024-10-04,Completed,76520.9,100,Pune,India,Net Banking
ORD-DFD0C153,CUST-140A8881,2022-09-14,Pending,19253.28,0,Kolkata,India,Net Banking
ORD-E96D1F02,CUST-4BD72F0C,2024-10-17,Completed,171634.39,0,Hyderabad,India,Wallet
ORD-D8F843EE,CUST-DA6736B5,2023-01-29,Completed,19216.67,500,Pune,India,UPI
ORD-150EBDDB,CUST-0FF25348,2022-07-12,Cancelled,12088.06,200,Delhi,India,UPI
ORD-23339C2E,CUST-63A40671,2022-03-28,Pending,18548.83,0,Ahmedabad,India,UPI
ORD-8AC61B4D,CUST-8116ACAC,2024-06-08,Completed,11379.8,500,Hyderabad,India,Credit Card
ORD-00FD46AF,CUST-6B7FC470,2023-05-13,Completed,26518.27,500,Mumbai,India,Wallet
ORD-C6B4432A,CUST-277AFF95,2022-11-14,Completed,6648.62,0,Mumbai,India,Credit Card
ORD-FF9A623F,CUST-8DD8A86C,2023-11-25,Pending,27682.26,0,Delhi,India,UPI
ORD-732893EF,CUST-BD75547B,2022-08-08,Completed,12289.21,500,Hyderabad,India,Wallet
ORD-4060F2CB,CUST-FC30449B,2022-10-03,Completed,3322.56,200,Surat,India,Net Banking
ORD-EA8C3120,CUST-614146B9,2024-09-30,Completed,232046.47,0,Bangalore,India,UPI
ORD-A3A0578E,CUST-0F76F2BB,2023-08-29,Completed,278542.08,200,Ahmedabad,India,UPI
ORD-5C4C4000,CUST-8BC7A310,2022-05-10,Pending,77264.28,0,Jaipur,India,Net Banking
ORD-DB2B06A2,CUST-51F8657D,2022-07-17,Cancelled,48030.36,500,Hyderabad,India,UPI
ORD-1616C07C,CUST-194ED1AA,2022-03-06,Completed,1761.28,0,Delhi,India,Credit Card
ORD-59C892B3,CUST-68411D62,2024-03-06,Pending,35323.88,0,Bangalore,India,Credit Card
ORD-E6D751ED,CUST-5EFB64C3,2023-03-04,Pending,142616.08,100,Surat,India,Credit Card
ORD-B738ED6A,CUST-EB205B0D,2023-06-29,Cancelled,137483.78,500,Hyderabad,India,Credit Card
ORD-FFD48A07,CUST-ABF4976D,2023-03-19,Cancelled,1440.36,200,Delhi,India,Wallet
ORD-57BE13BB,CUST-5636E8B6,2023-01-31,Cancelled,240192.05,100,Ahmedabad,India,Wallet
ORD-5F30BEB6,CUST-0D4667F7,2022-08-05,Pending,47770.2,500,Delhi,India,UPI
ORD-0AF40D83,CUST-CF3E83AC,2024-06-26,Completed,25687.12,50,Bangalore,India,Net Banking
ORD-09E0AFAD,CUST-C3B49F47,2023-05-08,Cancelled,200015.31,50,Bangalore,India,Net Banking
ORD-FF5A6A96,CUST-049A4350,2022-02-03,Cancelled,48519.75,0,Surat,India,Net Banking
ORD-7E1BE468,CUST-C60D0C30,2023-07-20,Cancelled,32773.92,50,Pune,India,UPI
ORD-73BB7213,CUST-E91E2BDB,2023-06-09,Completed,62763.52,50,Bangalore,India,UPI
ORD-93553CB6,CUST-3C7C2B92,2022-06-08,Pending,46978.81,500,Delhi,India,Credit Card
ORD-B4F965E3,CUST-7DE8FE6F,2023-09-08,Completed,90184.08,500,Pune,India,Credit Card
ORD-E5186C9A,CUST-8116ACAC,2024-02-23,Completed,75617.09,100,Hyderabad,India,UPI
ORD-EF78AF2A,CUST-F0F49598,2022-04-14,Pending,59924.73,0,Hyderabad,India,UPI
ORD-FE07888C,CUST-92A4A8EB,2023-11-20,Completed,268890.55,0,Chennai,India,UPI
ORD-E232C602,CUST-936BA115,2022-10-04,Returned,40645.72,100,Pune,India,Net Banking
ORD-991A6550,CUST-A5B6CFC9,2024-05-30,Completed,130417.09,0,Kolkata,India,Credit Card
ORD-51D680A0,CUST-81E26740,2023-09-17,Completed,18772.89,0,Hyderabad,India,UPI
ORD-604B2E36,CUST-99889BB9,2024-02-05,Completed,1508.81,200,Hyderabad,India,UPI
ORD-5400595C,CUST-5A25A025,2022-10-30,Completed,45925.37,200,Mumbai,India,Net Banking
ORD-71C3083C,CUST-0F76F2BB,2024-08-22,Completed,128815.01,0,Ahmedabad,India,Wallet
ORD-593AD362,CUST-B804C246,2022-10-17,Pending,94876.49,100,Jaipur,India,Credit Card
ORD-CFB5FA2F,CUST-6F337490,2022-12-15,Completed,17663.83,0,Ahmedabad,India,Credit Card
ORD-9E301717,CUST-6803B1B9,2023-07-10,Pending,23234.26,500,Surat,India,Wallet
ORD-D6213AE6,CUST-A951D4A5,2022-07-23,Completed,211564.75,0,Mumbai,India,Credit Card
ORD-8E5054C7,CUST-70AADADD,2023-05-22,Cancelled,10245.3,200,Bangalore,India,Net Banking
ORD-CCCAB801,CUST-495737BE,2023-09-12,Completed,155070.25,100,Chennai,India,UPI
ORD-38E49D68,CUST-38FEB040,2024-02-22,Cancelled,62298.32,50,Surat,India,UPI
ORD-B034E274,CUST-6D51D533,2022-10-11,Cancelled,36918.04,500,Hyderabad,India,Credit Card
ORD-3B2FB71B,CUST-918B380D,2024-12-27,Pending,63308.67,0,Hyderabad,India,Credit Card
ORD-01DE2AE6,CUST-6CF7373B,2023-10-15,Returned,70595.19,500,Surat,India,Credit Card
ORD-352A1A36,CUST-936BA115,2023-07-01,Cancelled,47201.25,0,Pune,India,Wallet
ORD-F2772C21,CUST-0912696B,2024-02-05,Completed,16549.43,0,Jaipur,India,Net Banking
ORD-FE2DB325,CUST-7FB6D1EF,2024-04-25,Completed,55873.45,0,Jaipur,India,Wallet
ORD-99439EF3,CUST-277AFF95,2023-10-28,Returned,139199.66,500,Mumbai,India,Wallet
ORD-0BE26A3F,CUST-1FEFC060,2023-10-03,Returned,37489.92,100,Pune,India,Wallet
ORD-837BD03D,CUST-F584371B,2022-03-22,Cancelled,162114.06,50,Pune,India,UPI
ORD-EAB42D7B,CUST-60013048,2023-08-26,Cancelled,6826.98,0,Delhi,India,Wallet
ORD-4D2FFA9B,CUST-E2EBEF6A,2024-10-22,Completed,24347.36,0,Ahmedabad,India,Net Banking
ORD-25A21251,CUST-0F76F2BB,2022-02-21,Completed,39853.05,0,Ahmedabad,India,UPI
ORD-49F81CF5,CUST-447BBE96,2022-09-11,Completed,17104.46,200,Delhi,India,Credit Card
ORD-1794481F,CUST-B33CCF95,2024-02-26,Pending,175025.43,500,Jaipur,India,UPI
ORD-06064EE3,CUST-2F3BF899,2022-10-24,Completed,3249.88,0,Chennai,India,Wallet
ORD-3A061538,CUST-55259643,2023-01-06,Completed,53432.3,100,Delhi,India,Wallet
ORD-E755F421,CUST-A5D35B0D,2024-10-18,Cancelled,6598.75,50,Kolkata,India,UPI
ORD-D64DEAA3,CUST-B2C80B3C,2024-09-01,Returned,155976.53,0,Ahmedabad,India,UPI
ORD-5E6519BC,CUST-C838AFFE,2023-01-14,Completed,4760.5,0,Chennai,India,Credit Card
ORD-3BEB8D49,CUST-99577116,2023-09-04,Completed,147025.6,0,Delhi,India,UPI
ORD-96C094C2,CUST-F9A7678A,2023-08-06,Cancelled,57003.2,0,Kolkata,India,Wallet
ORD-558FDA83,CUST-789D7114,2022-05-19,Returned,39650.47,200,Ahmedabad,India,UPI
ORD-2EB9C949,CUST-C76EB422,2023-03-05,Cancelled,20364.65,100,Pune,India,Credit Card
ORD-F93F8398,CUST-AD2443C4,2023-08-12,Returned,91137.62,0,Pune,India,Wallet
ORD-CD53666B,CUST-475DE7C7,2023-01-04,Cancelled,4155.74,0,Jaipur,India,Wallet
ORD-2E231259,CUST-12D3C02B,2022-08-30,Pending,9242.01,50,Mumbai,India,Net Banking
ORD-2D556A9C,CUST-94AE1E77,2023-03-11,Completed,7534.11,500,Ahmedabad,India,Net Banking
ORD-A60154BF,CUST-4C5B4121,2023-10-26,Completed,3407.2,0,Pune,India,Credit Card
ORD-B461BC55,CUST-6EB56331,2022-12-26,Completed,67846.99,500,Surat,India,Wallet
ORD-3174E1BC,CUST-7AA1330B,2024-08-01,Cancelled,55466.63,500,Delhi,India,Net Banking
ORD-B7A2C8D0,CUST-1E552254,2022-02-08,Completed,230773.81,500,Hyderabad,India,UPI
ORD-4C26C8BF,CUST-68411D62,2024-03-08,Completed,19280.3,50,Bangalore,India,Net Banking
ORD-0063FDB8,CUST-CAC027CF,2024-12-11,Completed,2719.88,500,Bangalore,India,Credit Card
ORD-BB4B9BBC,CUST-334365C9,2024-11-02,Completed,114899.09,50,Bangalore,India,UPI
ORD-55869FBC,CUST-444B43B3,2022-07-21,Cancelled,25854.83,50,Pune,India,Credit Card
ORD-7EB7DCF1,CUST-45A04A03,2023-09-29,Completed,103124.57,100,Hyderabad,India,Net Banking
ORD-546E2515,CUST-8FB674DF,2023-03-06,Completed,20453.61,0,Jaipur,India,Wallet
ORD-1DCBE245,CUST-0CDCC963,2022-08-29,Completed,196988.44,0,Chennai,India,Credit Card
ORD-B2C427DD,CUST-6D51D533,2023-12-19,Cancelled,62098.18,100,Hyderabad,India,Net Banking
ORD-5FBA970B,CUST-8A0C4F7D,2023-11-25,Cancelled,87075.09,200,Mumbai,India,Credit Card
ORD-F40A31C9,CUST-B8E3127B,2024-03-13,Completed,64748.12,0,Jaipur,India,Wallet
ORD-D8BA5C39,CUST-7E51E448,2022-09-27,Completed,29005.49,50,Pune,India,Net Banking
ORD-7651A022,CUST-F0E511E2,2024-01-15,Returned,8946.62,50,Kolkata,India,Credit Card
ORD-2FA96E14,CUST-4F3606C9,2022-08-20,Completed,52658.36,100,Delhi,India,Wallet
ORD-4D5EC77C,CUST-873730FB,2022-08-08,Completed,289857.64,100,Pune,India,UPI
ORD-5BE880B1,CUST-507C91CA,2024-09-14,Returned,138376.11,0,Jaipur,India,Wallet
ORD-8A204122,CUST-580E9DD2,2024-06-10,Cancelled,34144.48,200,Delhi,India,Wallet
ORD-B0435AC9,CUST-DA0E116D,2024-08-06,Completed,131106.04,0,Hyderabad,India,Net Banking
ORD-355BFA88,CUST-C03BBDED,2022-05-06,Completed,16785.97,500,Mumbai,India,UPI
ORD-169FCAE3,CUST-89DB5891,2022-11-02,Returned,96206.79,0,Mumbai,India,Net Banking
ORD-459EF142,CUST-26EDB403,2024-06-09,Pending,34357.71,100,Jaipur,India,Net Banking
ORD-58CC8914,CUST-5A3A680D,2024-01-27,Cancelled,139236.04,200,Mumbai,India,Net Banking
ORD-4B5CD402,CUST-51F8657D,2023-08-01,Completed,21227.32,50,Hyderabad,India,Wallet
ORD-0E923BC1,CUST-085AF52B,2024-02-21,Returned,120117.22,100,Pune,India,UPI
ORD-34F77A1B,CUST-FB50AA4B,2022-01-24,Completed,107661.88,200,Surat,India,Wallet
ORD-58215FA3,CUST-92172702,2022-10-06,Completed,9508.6,500,Hyderabad,India,Wallet
ORD-FA7489B9,CUST-25760997,2023-01-04,Returned,53134.47,0,Hyderabad,India,Wallet
ORD-D3C7E10E,CUST-E4F614E6,2023-04-30,Pending,150634.25,0,Pune,India,Credit Card
ORD-C1CEA06B,CUST-B12BD511,2024-09-13,Pending,161592.82,200,Chennai,India,Net Banking
ORD-299753A7,CUST-78931E5D,2024-11-24,Completed,251733.65,200,Hyderabad,India,Credit Card
ORD-59F4CCF9,CUST-17667E04,2023-12-05,Cancelled,3827.62,50,Chennai,India,Wallet
ORD-480998E8,CUST-E1AFF3AB,2023-11-10,Returned,28184.19,200,Bangalore,India,Net Banking
ORD-74A643E0,CUST-5A3A680D,2024-08-27,Cancelled,262214.08,200,Mumbai,India,Credit Card
ORD-E962D466,CUST-5B1F53D3,2024-09-19,Completed,144707.0,500,Delhi,India,UPI
ORD-1B0B39FF,CUST-5EF47699,2023-07-30,Completed,18291.03,0,Hyderabad,India,Wallet
ORD-5C51B907,CUST-6BFE99E9,2022-12-26,Completed,68092.51,500,Jaipur,India,Net Banking
ORD-08397E0B,CUST-9B7F4C67,2022-10-25,Cancelled,34962.92,500,Bangalore,India,Wallet
ORD-45CDFE0E,CUST-FC2984D5,2022-12-09,Completed,187858.16,50,Bangalore,India,UPI
ORD-A100C5A9,CUST-1E2FBEB8,2024-03-09,Returned,130859.94,0,Mumbai,India,Net Banking
ORD-8B2C5ACB,CUST-B807180B,2024-12-21,Pending,4821.08,100,Ahmedabad,India,Net Banking
ORD-68331FEF,CUST-7D897851,2024-06-03,Cancelled,13403.05,0,Ahmedabad,India,Wallet
ORD-9B54EC40,CUST-F24E556E,2023-05-11,Pending,124045.41,100,Hyderabad,India,Wallet
ORD-C107E46F,CUST-7F2AFB08,2024-12-11,Completed,100721.32,0,Chennai,India,Credit Card
ORD-A78F1875,CUST-AAB011C2,2023-03-21,Cancelled,1645.05,0,Pune,India,UPI
ORD-785834FC,CUST-BB4C8366,2023-01-14,Completed,3841.76,50,Ahmedabad,India,Wallet
ORD-28CDBDB2,CUST-CA18B190,2023-07-21,Returned,154653.85,0,Surat,India,Net Banking
ORD-EFC22525,CUST-1547474C,2023-06-13,Completed,41663.48,50,Hyderabad,India,Wallet
ORD-22A1C54F,CUST-868ADE8A,2024-10-04,Completed,20914.83,0,Hyderabad,India,Credit Card
ORD-4ADD1A1D,CUST-F0E511E2,2024-06-23,Pending,166484.56,0,Kolkata,India,Wallet
ORD-1B24FAF2,CUST-A56D54BF,2024-10-16,Completed,5157.42,200,Surat,India,Net Banking
ORD-0CA9AB3A,CUST-71ACE83A,2023-11-07,Returned,157480.51,50,Kolkata,India,Wallet
ORD-4E72D3C5,CUST-E3630AB7,2024-09-14,Completed,160592.25,0,Surat,India,Net Banking
ORD-01E5FD6C,CUST-DD3E4229,2024-07-30,Completed,24202.33,0,Surat,India,UPI
ORD-92297FC5,CUST-D2C85F1F,2024-03-09,Completed,6346.96,200,Bangalore,India,UPI
ORD-55BD4ECD,CUST-A35384D9,2023-05-04,Returned,64294.81,100,Hyderabad,India,Credit Card
ORD-8BE11CCE,CUST-049E2655,2022-03-29,Returned,143282.23,500,Delhi,India,Wallet
ORD-C90DBC94,CUST-05794BDD,2022-11-02,Pending,202223.51,200,Delhi,India,UPI
